,dpto,FEDERICO_GUTIÉRREZ_vot,RODOLFO_HERNÁNDEZ_vot,GUSTAVO_PETRO_vot,SERGIO_FAJARDO_vot,Unnamed: 0,Departamento,Dep_Lat,Dep_Lng,tipo_corrupcion
0,AMAZONAS,5734,4487,10117,749,0.0,AMAZONAS,-4.2152778,-69.9405556,5
1,ANTIOQUIA,1385565,521390,682282,154470,1.0,ANTIOQUIA,6.2913889,-75.5361111,76
2,ARAUCA,12651,56079,23043,1677,2.0,ARAUCA,7.0902778,-70.7616667,6
3,ATLANTICO,233614,113489,479049,23382,3.0,ATLANTICO,10.9638889,-74.7963889,88
4,BOGOTA D.C.,723538,833016,1769671,299266,4.0,BOGOTA D.C.,4.6,-74.0833333,200
5,BOLIVAR,204057,109395,359593,18437,5.0,BOLIVAR,10.3997222,-75.5144444,47
6,BOYACA,66926,321045,194972,23207,6.0,BOYACA,5.5352778,-73.3677778,9
7,CALDAS,136910,147287,131908,29682,7.0,CALDAS,5.07,-75.5205556,4
8,CAQUETA,19807,65399,47959,2757,8.0,CAQUETA,1.6175,-75.6175,10
9,CASANARE,19498,125689,42674,3035,9.0,CASANARE,5.3394444,-72.3941667,11
10,CAUCA,73860,56703,388206,13759,10.0,CAUCA,3.2775,-75.6213889,13
11,CESAR,80791,140124,190420,6540,11.0,CESAR,10.4769444,-73.2505556,33
12,CHOCO,18871,9805,96638,3733,12.0,CHOCO,5.6947222,-76.6611111,18
14,CORDOBA,172686,95201,318645,9896,13.0,CORDOBA,8.7575,-75.89,29
15,CUNDINAMARCA,194820,615953,472538,53517,14.0,CUNDINAMARCA,4.5872222,-74.2213889,32
16,GUAINIA,1773,2892,4966,527,15.0,GUAINIA,3.8652778,-67.9238889,2
17,GUAVIARE,2953,14534,11198,575,17.0,GUAVIARE,2.5683333,-72.6416667,3
18,HUILA,88155,223473,162609,9898,18.0,HUILA,2.9305556,-75.3302778,7
19,LA GUAJIRA,45779,37587,113489,3379,16.0,LA GUAJIRA,11.5444444,-72.9072222,27
20,MAGDALENA,128355,78368,226501,9007,19.0,MAGDALENA,11.2472222,-74.2016667,28
21,META,69511,253918,135500,10295,20.0,META,4.1533333,-73.635,26
22,NARIÑO,83141,66437,433636,14925,21.0,NARIÑO,1.214670737,-77.27864742,13
23,NORTE DE SAN,169066,367724,107617,16088,22.0,NORTE DE SAN,7.8833333,-72.5052778,19
24,PUTUMAYO,11855,17483,86542,2016,23.0,PUTUMAYO,1.1488889,-76.6477778,7
25,QUINDIO,82165,80780,84365,13819,24.0,QUINDIO,4.5338889,-75.6811111,13
26,RISARALDA,112665,147122,164204,22624,25.0,RISARALDA,4.8133333,-75.6961111,15
27,SAN ANDRES,4544,2660,5996,576,26.0,SAN ANDRES,12.5,-81.75,7
28,SANTANDER,104955,782378,244179,14063,27.0,SANTANDER,7.1297222,-73.1258333,75
29,SUCRE,103850,40093,198095,5985,28.0,SUCRE,9.3047222,-75.3977778,34
30,TOLIMA,144982,242949,191000,18466,29.0,TOLIMA,4.4388889,-75.2322222,25
31,VALLE,414439,329898,1043911,78108,30.0,VALLE,3.4372222,-76.5225,74
32,VAUPES,763,1063,4741,253,31.0,VAUPES,1.1983333,-70.1733333,2
33,VICHADA,3220,6670,5654,551,32.0,VICHADA,6.1877778,-67.4730556,9
